timestamp,symbol,ob_signal,ob_confidence,bid_ask_ratio,spread_pct,bid_wall_conc,ask_wall_conc,indicator_filter_passed,filter_reason,rsi,ema_fast,ema_slow,atr,volume_ratio
2026-06-01 01:18:51 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3330),48.23,1.333716,1.332952,0.004078,0.33
2026-06-01 01:18:51 UTC,BTCUSDT,SHORT,HIGH,0.1176,0.00258,0.4362,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:52 UTC,ETHUSDT,NEUTRAL,LOW,0.8904,0.04786,0.5273,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:52 UTC,SOLUSDT,SHORT,HIGH,0.8257,0.02428,0.7309,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:52 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:53 UTC,BTCUSDT,SHORT,HIGH,0.1185,0.00258,0.4329,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:53 UTC,ETHUSDT,NEUTRAL,LOW,0.9823,0.04786,0.4843,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:53 UTC,SOLUSDT,NEUTRAL,LOW,0.8347,0.02428,0.7355,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:53 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:54 UTC,BTCUSDT,SHORT,HIGH,0.1185,0.00258,0.4329,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:54 UTC,ETHUSDT,NEUTRAL,LOW,0.9853,0.04836,0.4828,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:54 UTC,SOLUSDT,NEUTRAL,LOW,0.8347,0.02428,0.7355,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:54 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:55 UTC,BTCUSDT,SHORT,HIGH,0.2478,0.00258,0.6101,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:55 UTC,ETHUSDT,NEUTRAL,LOW,0.9853,0.04836,0.4828,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:55 UTC,SOLUSDT,SHORT,HIGH,0.8263,0.03643,0.7487,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:55 UTC,XRPUSDT,SHORT,HIGH,0.7294,0.00751,0.8101,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:56 UTC,BTCUSDT,SHORT,HIGH,0.2167,0.00258,0.6813,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:56 UTC,ETHUSDT,NEUTRAL,LOW,0.9596,0.04886,0.4957,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:56 UTC,SOLUSDT,SHORT,HIGH,0.8263,0.03643,0.7487,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:57 UTC,XRPUSDT,SHORT,HIGH,0.7182,0.00751,0.7992,0.4609,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:57 UTC,BTCUSDT,SHORT,HIGH,0.2176,0.00258,0.6785,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:57 UTC,ETHUSDT,NEUTRAL,LOW,0.9596,0.04886,0.4957,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:58 UTC,SOLUSDT,SHORT,HIGH,0.8263,0.02428,0.7487,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:58 UTC,XRPUSDT,SHORT,HIGH,0.7096,0.00751,0.8044,0.4609,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:58 UTC,BTCUSDT,SHORT,HIGH,0.3055,0.00258,0.5489,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:58 UTC,ETHUSDT,NEUTRAL,LOW,0.891,0.04886,0.5227,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:59 UTC,SOLUSDT,NEUTRAL,LOW,0.8839,0.03643,0.7308,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:59 UTC,XRPUSDT,SHORT,HIGH,0.7096,0.00751,0.8044,0.4609,False,EMA trend UP (fast=1.3337 > slow=1.3329),48.04,1.333696,1.332943,0.004078,0.34
2026-06-01 01:18:59 UTC,BTCUSDT,SHORT,HIGH,0.3064,0.00258,0.5472,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:59 UTC,ETHUSDT,NEUTRAL,LOW,0.8693,0.04936,0.478,0.5184,True,Balanced book,,,,,
2026-06-01 01:19:00 UTC,SOLUSDT,NEUTRAL,LOW,0.8624,0.04857,0.749,0.4066,True,Balanced book,,,,,
